model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test,epochs_used
10_bilstm,2024,สาธุการ,0.7546296296296297,0.7017644918748485,0.2857142857142857,0.8709677419354839,0.9285714285714286,0.7218045112781954,603,216,12
10_bilstm,2024,แขกมอญบางช้าง,0.7844827586206896,0.7757251954757051,0.6428571428571429,0.8709677419354839,0.8656716417910447,0.723404255319149,703,116,20
10_bilstm,2024,โหมโรงมหาฤกษ์,0.6911764705882353,0.6849421820010054,0.8235294117647058,0.6,0.7777777777777778,0.5384615384615384,751,68,13
11_transformer_flat,42,กล่อมนารี,0.5357142857142857,0.5444139455767363,0.4883720930232558,0.5846153846153846,0.6181818181818182,0.4864864864864865,679,140,13
11_transformer_flat,42,จีนขิมเล็ก,0.6601941747572816,0.6049145299145299,0.23076923076923078,0.6428571428571429,0.8888888888888888,0.6571428571428571,716,103,16
11_transformer_flat,42,ตับต้นเพลงฉิ่ง,0.6704545454545454,0.6321682946682947,0.25925925925925924,0.8809523809523809,0.7884615384615384,0.6,643,176,18
11_transformer_flat,42,สาธุการ,0.8148148148148148,0.7822190365671104,0.45714285714285713,0.8780487804878049,0.9906542056074766,0.803030303030303,603,216,21
11_transformer_flat,42,แขกมอญบางช้าง,0.646551724137931,0.6320559755648464,0.46153846153846156,0.7761194029850746,0.8,0.49056603773584906,703,116,17
11_transformer_flat,42,โหมโรงมหาฤกษ์,0.5147058823529411,0.5173205463528044,0.4864864864864865,0.4,0.6666666666666666,0.5161290322580645,751,68,16
11_transformer_flat,123,กล่อมนารี,0.5642857142857143,0.5667869186505374,0.5168539325842697,0.56,0.5925925925925926,0.5977011494252874,679,140,12
11_transformer_flat,123,จีนขิมเล็ก,0.6601941747572816,0.6510287794261713,0.4888888888888889,0.6774193548387096,0.8846153846153846,0.5531914893617021,716,103,12
11_transformer_flat,123,ตับต้นเพลงฉิ่ง,0.6875,0.6833355418626736,0.5432098765432098,0.8395061728395061,0.7692307692307693,0.5813953488372093,643,176,18
11_transformer_flat,123,สาธุการ,0.8425925925925926,0.8354185812378295,0.6595744680851063,0.9,0.9532710280373832,0.8288288288288288,603,216,12
11_transformer_flat,123,แขกมอญบางช้าง,0.6379310344827587,0.6158518760496371,0.4745762711864407,0.7719298245614035,0.8169014084507042,0.4,703,116,12
11_transformer_flat,123,โหมโรงมหาฤกษ์,0.5735294117647058,0.5644230769230769,0.6666666666666666,0.5333333333333333,0.75,0.3076923076923077,751,68,12
11_transformer_flat,2024,กล่อมนารี,0.5714285714285714,0.5811218102186486,0.4835164835164835,0.5614035087719298,0.6530612244897959,0.6265060240963856,679,140,12
11_transformer_flat,2024,จีนขิมเล็ก,0.6116504854368932,0.6184885332903236,0.43478260869565216,0.6486486486486487,0.8627450980392157,0.5277777777777778,716,103,24
11_transformer_flat,2024,ตับต้นเพลงฉิ่ง,0.7159090909090909,0.7088322246858832,0.5833333333333334,0.8292682926829268,0.7636363636363637,0.6590909090909091,643,176,13
11_transformer_flat,2024,สาธุการ,0.7916666666666666,0.7495346307875494,0.3582089552238806,0.8666666666666667,0.9906542056074766,0.782608695652174,603,216,17
11_transformer_flat,2024,แขกมอญบางช้าง,0.6551724137931034,0.6324522869592023,0.5483870967741935,0.7368421052631579,0.8055555555555556,0.43902439024390244,703,116,13
11_transformer_flat,2024,โหมโรงมหาฤกษ์,0.5441176470588235,0.5158685174949745,0.6451612903225806,0.5306122448979592,0.7058823529411765,0.18181818181818182,751,68,17
12_tbc_full,42,กล่อมนารี,0.6357142857142857,0.6195320767195768,0.53125,0.5925925925925926,0.64,0.7142857142857143,679,140,15
12_tbc_full,42,จีนขิมเล็ก,0.7281553398058253,0.7140400743937958,0.5238095238095238,0.7391304347826086,0.847457627118644,0.7457627118644068,716,103,13
12_tbc_full,42,ตับต้นเพลงฉิ่ง,0.6363636363636364,0.5633293038987732,0.04,0.8936170212765957,0.7850467289719626,0.5346534653465347,643,176,11
12_tbc_full,42,สาธุการ,0.7824074074074074,0.7661931818181819,0.4772727272727273,0.9,0.875,0.8125,603,216,12
12_tbc_full,42,แขกมอญบางช้าง,0.7155172413793104,0.6910112914854525,0.6774193548387096,0.8421052631578947,0.7945205479452054,0.45,703,116,13
12_tbc_full,42,โหมโรงมหาฤกษ์,0.5882352941176471,0.598953823953824,0.7857142857142857,0.4888888888888889,0.7878787878787878,0.3333333333333333,751,68,15
12_tbc_full,123,กล่อมนารี,0.6285714285714286,0.6311776061776062,0.5675675675675675,0.6285714285714286,0.6785714285714286,0.65,679,140,15
12_tbc_full,123,จีนขิมเล็ก,0.6796116504854369,0.6575124935780674,0.3076923076923077,0.7692307692307693,0.9629629629629629,0.5901639344262295,716,103,31
12_tbc_full,123,ตับต้นเพลงฉิ่ง,0.7215909090909091,0.6797876476274534,0.2857142857142857,0.9318181818181818,0.8349514563106796,0.6666666666666666,643,176,16
12_tbc_full,123,สาธุการ,0.7546296296296297,0.7132392114165194,0.3055555555555556,0.8852459016393442,0.8952380952380953,0.7669172932330827,603,216,12
12_tbc_full,123,แขกมอญบางช้าง,0.6896551724137931,0.6783880348375029,0.46808510638297873,0.8214285714285714,0.8615384615384616,0.5625,703,116,21
12_tbc_full,123,โหมโรงมหาฤกษ์,0.5588235294117647,0.5547694937176644,0.5853658536585366,0.5333333333333333,0.7878787878787878,0.3125,751,68,17
12_tbc_full,2024,กล่อมนารี,0.5428571428571428,0.542479674796748,0.5333333333333333,0.5,0.6,0.5365853658536586,679,140,14
12_tbc_full,2024,จีนขิมเล็ก,0.6601941747572816,0.6527921535440332,0.4888888888888889,0.5964912280701754,0.8727272727272727,0.6530612244897959,716,103,13
