song_file,instrument,piece,start_bar,end_bar,sustain_ratio,low_oct_ratio,mid_oct_ratio,high_oct_ratio,lukabad_density,paren_ratio,transition_entropy
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,113,128,0.0,0.0,0.671875,0.328125,0.0,0.0,4.762528732817681
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,121,136,0.0,0.0,0.8125,0.1875,0.0,0.0,4.634369464228047
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,129,144,0.0,0.0,0.859375,0.140625,0.0,0.0,4.76094356662546
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,137,152,0.0,0.0,0.765625,0.234375,0.0,0.0,4.812453288813342
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,145,160,0.0,0.0,0.578125,0.421875,0.0,0.0,4.284498924863499
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,153,168,0.0,0.0,0.609375,0.390625,0.0,0.0,4.399754876114929
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,161,176,0.0,0.0,0.65625,0.34375,0.0,0.0,4.494328781194828
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,169,184,0.0,0.0,0.46875,0.53125,0.0,0.0,4.6576699566782125
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,177,192,0.0,0.0,0.421875,0.578125,0.0,0.0,4.480761273698425
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,185,200,0.0,0.0,0.609375,0.390625,0.0,0.0,4.794274764563714
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,193,208,0.0,0.0,0.75,0.25,0.0,0.0,4.455465590469325
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,201,216,0.0,0.0,0.828125,0.171875,0.0,0.0,4.475639305497888
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,209,224,0.0,0.0,0.859375,0.140625,0.0,0.0,4.387518369239263
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,217,232,0.0,0.0,0.859375,0.140625,0.0,0.0,4.392383551563974
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,225,240,0.0,0.0,0.875,0.125,0.0,0.0,4.455211424897842
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,233,248,0.0,0.0,0.890625,0.109375,0.0,0.0,4.556899868652868
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,241,256,0.0,0.0,0.859375,0.140625,0.0,0.0,5.008715637648268
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,249,264,0.0,0.0,0.890625,0.109375,0.0,0.0,4.59023106659112
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,257,272,0.0,0.0,0.953125,0.046875,0.0,0.0,4.251831917083444
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,265,280,0.0,0.0,0.84375,0.15625,0.0,0.0,4.380657996135618
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,273,288,0.0,0.0,0.65625,0.34375,0.0,0.0,4.004204327884071
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,281,296,0.0,0.0,0.671875,0.328125,0.0,0.0,3.945500801165241
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,289,304,0.0,0.0,0.640625,0.359375,0.0,0.0,4.102725059558999
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,297,312,0.0,0.0,0.625,0.375,0.0,0.0,4.655718320862115
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,305,320,0.0,0.0,0.59375,0.40625,0.0,0.0,4.175693322129002
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,313,328,0.0,0.0,0.59375,0.40625,0.0,0.0,4.219421695179215
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,321,336,0.0,0.0,0.625,0.375,0.0,0.0,4.291870249414455
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,329,344,0.0,0.0,0.625,0.375,0.0,0.0,4.3240263057472
ตับต้นเพลงฉิ่ง ขลุ่ยเพียงออ.xlsx,ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,337,352,0.140625,0.0,0.6,0.4,0.0,0.0,4.683883995636994
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,1,16,0.4375,0.1111111111111111,0.8333333333333334,0.05555555555555555,0.0,0.0,4.577584535128739
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,9,24,0.328125,0.11627906976744186,0.813953488372093,0.06976744186046512,0.0,0.0,5.038876503202078
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,17,32,0.4307692307692308,0.02702702702702703,0.7297297297297297,0.24324324324324326,0.0625,0.0,4.422376767019874
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,25,40,0.24615384615384617,0.04081632653061224,0.7346938775510204,0.22448979591836735,0.0625,0.0,4.933768266288633
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,33,48,0.015625,0.06349206349206349,0.6825396825396826,0.25396825396825395,0.0,0.0,5.048243018531968
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,41,56,0.140625,0.03636363636363636,0.7090909090909091,0.2545454545454545,0.0,0.0,5.048243018531967
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,49,64,0.15625,0.18518518518518517,0.7222222222222222,0.09259259259259259,0.0,0.0,5.020697978952451
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,57,72,0.12121212121212122,0.1896551724137931,0.7068965517241379,0.10344827586206896,0.125,0.0,5.193532382552653
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,65,80,0.12121212121212122,0.034482758620689655,0.7931034482758621,0.1724137931034483,0.125,0.0,4.898743775495265
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,73,88,0.203125,0.0392156862745098,0.6862745098039216,0.27450980392156865,0.0,0.0,4.722747186362498
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,81,96,0.171875,0.05660377358490566,0.7735849056603774,0.16981132075471697,0.0,0.0,4.792689598371491
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,89,104,0.0,0.171875,0.71875,0.109375,0.0,0.0,4.945223574156205
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,97,112,0.125,0.16071428571428573,0.6071428571428571,0.23214285714285715,0.0,0.0,5.286648574224885
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,105,120,0.3787878787878788,0.0,0.7560975609756098,0.24390243902439024,0.125,0.0,4.566534113288598
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,113,128,0.2878787878787879,0.02127659574468085,0.6808510638297872,0.2978723404255319,0.125,0.0,5.114374735972242
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,121,136,0.03125,0.016129032258064516,0.46774193548387094,0.5161290322580645,0.0,0.0,4.760279376467264
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,129,144,0.0,0.0,0.5,0.5,0.0,0.0,4.397915544351225
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,137,152,0.0,0.1875,0.609375,0.203125,0.0,0.0,4.995148130151865
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,145,160,0.03125,0.22580645161290322,0.7096774193548387,0.06451612903225806,0.0,0.0,5.076818717893558
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,153,168,0.0625,0.03333333333333333,0.7,0.26666666666666666,0.0,0.0,4.9170578993813265
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,161,176,0.140625,0.03636363636363636,0.6545454545454545,0.3090909090909091,0.0,0.0,4.972768613735721
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,169,184,0.25,0.10416666666666667,0.7916666666666666,0.10416666666666667,0.0,0.0,5.217370352374087
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,177,192,0.140625,0.10909090909090909,0.8181818181818182,0.07272727272727272,0.0,0.0,5.066421542781595
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,185,200,0.12307692307692308,0.05263157894736842,0.7719298245614035,0.17543859649122806,0.0625,0.0,4.935328664259099
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,193,208,0.12307692307692308,0.03508771929824561,0.7017543859649122,0.2631578947368421,0.0625,0.0,4.726813383509937
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,201,216,0.03125,0.03225806451612903,0.6290322580645161,0.3387096774193548,0.0,0.0,4.822850463925303
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,209,224,0.03125,0.0,0.6290322580645161,0.3709677419354839,0.0,0.0,4.951419757101651
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,217,232,0.03125,0.016129032258064516,0.7258064516129032,0.25806451612903225,0.0,0.0,4.679018813312284
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,225,240,0.03125,0.03225806451612903,0.7419354838709677,0.22580645161290322,0.0,0.0,4.439282256998629
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,233,248,0.203125,0.0392156862745098,0.7647058823529411,0.19607843137254902,0.0,0.0,4.93324123285202
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,241,256,0.45454545454545453,0.027777777777777776,0.7222222222222222,0.25,0.125,0.0,4.473484846024229
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,249,264,0.4090909090909091,0.05128205128205128,0.7435897435897436,0.20512820512820512,0.125,0.0,4.563998774267361
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,257,272,0.296875,0.13333333333333333,0.8222222222222222,0.044444444444444446,0.0,0.0,4.911892376217953
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,265,280,0.328125,0.11627906976744186,0.813953488372093,0.06976744186046512,0.0,0.0,5.038876503202078
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,273,288,0.4307692307692308,0.02702702702702703,0.7297297297297297,0.24324324324324326,0.0625,0.0,4.422376767019874
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,281,296,0.24615384615384617,0.04081632653061224,0.7346938775510204,0.22448979591836735,0.0625,0.0,4.933768266288633
สาธุการ ปี่.xlsx,ขลุ่ย-ปี่,สาธุการ,289,304,0.015625,0.06349206349206349,0.6825396825396826,0.25396825396825395,0.0,0.0,5.048243018531968
