model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
3_rf_handcrafted,42,ตับต้นเพลงฉิ่ง,0.5340909090909091,0.5001293335159829,0.08955223880597014,0.6944444444444444,0.7058823529411765,0.5106382978723404,643,176
3_rf_handcrafted,42,สาธุการ,0.6990740740740741,0.6454303745686705,0.14084507042253522,0.8503937007874016,0.8387096774193549,0.75177304964539,603,216
3_rf_handcrafted,42,แขกมอญบางช้าง,0.5517241379310345,0.5426492436054882,0.35294117647058826,0.7755102040816326,0.5977011494252874,0.4444444444444444,703,116
3_rf_handcrafted,42,โหมโรงมหาฤกษ์,0.47058823529411764,0.4399871335355206,0.37037037037037035,0.5384615384615384,0.7741935483870968,0.07692307692307693,751,68
3_rf_handcrafted,123,กล่อมนารี,0.5,0.5015859616514782,0.4044943820224719,0.5757575757575758,0.46511627906976744,0.5609756097560976,679,140
3_rf_handcrafted,123,จีนขิมเล็ก,0.5436893203883495,0.5516898864809081,0.3508771929824561,0.75,0.7058823529411765,0.4,716,103
3_rf_handcrafted,123,ตับต้นเพลงฉิ่ง,0.5227272727272727,0.4874914398219483,0.06060606060606061,0.6944444444444444,0.6949152542372882,0.5,643,176
3_rf_handcrafted,123,สาธุการ,0.6990740740740741,0.6454303745686705,0.14084507042253522,0.8503937007874016,0.8387096774193549,0.75177304964539,603,216
3_rf_handcrafted,123,แขกมอญบางช้าง,0.5517241379310345,0.5402554961378492,0.35294117647058826,0.75,0.6136363636363636,0.4444444444444444,703,116
3_rf_handcrafted,123,โหมโรงมหาฤกษ์,0.47058823529411764,0.42824020319303335,0.32,0.5660377358490566,0.75,0.07692307692307693,751,68
3_rf_handcrafted,2024,กล่อมนารี,0.5,0.5001735703286091,0.4222222222222222,0.5454545454545454,0.46511627906976744,0.5679012345679012,679,140
3_rf_handcrafted,2024,จีนขิมเล็ก,0.5242718446601942,0.5364764864126135,0.3103448275862069,0.723404255319149,0.72,0.39215686274509803,716,103
3_rf_handcrafted,2024,ตับต้นเพลงฉิ่ง,0.5284090909090909,0.4999813458953046,0.11594202898550725,0.6944444444444444,0.6949152542372882,0.4946236559139785,643,176
3_rf_handcrafted,2024,สาธุการ,0.6990740740740741,0.6454303745686705,0.14084507042253522,0.8503937007874016,0.8387096774193549,0.75177304964539,603,216
3_rf_handcrafted,2024,แขกมอญบางช้าง,0.5344827586206896,0.5239229249011859,0.32,0.75,0.5909090909090909,0.43478260869565216,703,116
3_rf_handcrafted,2024,โหมโรงมหาฤกษ์,0.47058823529411764,0.42824020319303335,0.32,0.5660377358490566,0.75,0.07692307692307693,751,68
4_nb_unigram,42,กล่อมนารี,0.5285714285714286,0.5321339950372208,0.45161290322580644,0.6,0.5128205128205128,0.5641025641025641,679,140
4_nb_unigram,42,จีนขิมเล็ก,0.6116504854368932,0.6040031397174255,0.5384615384615384,0.6666666666666666,0.7346938775510204,0.47619047619047616,716,103
4_nb_unigram,42,ตับต้นเพลงฉิ่ง,0.6193181818181818,0.6047755257709491,0.37142857142857144,0.7631578947368421,0.7192982456140351,0.5652173913043478,643,176
4_nb_unigram,42,สาธุการ,0.8055555555555556,0.7732162711806442,0.4444444444444444,0.8852459016393442,0.9724770642201835,0.7906976744186046,603,216
4_nb_unigram,42,แขกมอญบางช้าง,0.6637931034482759,0.6455806904082766,0.509090909090909,0.8275862068965517,0.7567567567567568,0.4888888888888889,703,116
4_nb_unigram,42,โหมโรงมหาฤกษ์,0.39705882352941174,0.32738261156019566,0.5161290322580645,0.47761194029850745,0.21052631578947367,0.10526315789473684,751,68
4_nb_unigram,123,กล่อมนารี,0.5285714285714286,0.5321339950372208,0.45161290322580644,0.6,0.5128205128205128,0.5641025641025641,679,140
4_nb_unigram,123,จีนขิมเล็ก,0.6116504854368932,0.6040031397174255,0.5384615384615384,0.6666666666666666,0.7346938775510204,0.47619047619047616,716,103
4_nb_unigram,123,ตับต้นเพลงฉิ่ง,0.6193181818181818,0.6047755257709491,0.37142857142857144,0.7631578947368421,0.7192982456140351,0.5652173913043478,643,176
